id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4382134,Trivsam lägenhet i härligt område nära vatten,22752322,Petra,,Södermalms,59.30637,18.10411,Entire home/apt,2000,3,37,2020-01-01,0.41,1,215,0,
4490742,Studio for 1-3 people in beautiful Hornstull,12834413,Jens,,Södermalms,59.31725,18.02749,Entire home/apt,774,4,102,2022-06-19,1.10,2,97,32,
4510223,"Light, cosy aprtmnt, middle of SoFo",9387119,Layla,,Södermalms,59.31578,18.08451,Entire home/apt,800,4,32,2022-05-30,0.39,1,11,2,
4560935,Next to Slussen close to everything,7735109,Tove,,Södermalms,59.31918,18.07291,Entire home/apt,899,3,3,2016-11-07,0.03,1,0,0,
4591467,"Stockholm City, child friendly",23773283,Ann-Sofi,,Norrmalms,59.32953,18.06258,Entire home/apt,1450,1,9,2016-01-03,0.11,1,0,0,
4595163,Luxury Apartment in Heart of Elegant Area,1151067,Alexander,,Östermalms,59.33707,18.08795,Entire home/apt,1414,2,48,2022-06-05,1.24,1,2,13,
4661068,Beautiful apartment in Hornstull,1563203,Sofia,,Södermalms,59.31563,18.02873,Entire home/apt,1200,10,4,2022-06-06,0.05,1,92,2,
4683232,"Cosy flat with lots of plants, Stockholm",24335142,Josefin,,Södermalms,59.314,18.08391,Entire home/apt,800,2,90,2022-05-21,1.02,1,4,13,
4723486,Cosy 58m2 in SOFO with balcony!,6437888,Jezzica,,Södermalms,59.314404,18.081444,Entire home/apt,1310,2,57,2022-06-20,0.67,1,6,11,
4736291,Modern OldStyle Central Apartment,24451565,Karin,,Norrmalms,59.34921,18.05905,Entire home/apt,5000,2,17,2022-02-14,0.19,1,64,1,
4760460,Townhouse by the waterfront,24563562,Cecilia And Anders,,Södermalms,59.307,18.09623,Entire home/apt,4900,1,67,2018-11-03,0.75,1,0,0,
4796490,City of Stockholm,24368398,Saba,,Södermalms,59.31549,18.08449,Private room,850,1,0,,,1,0,0,
4808886,Mysig sekelskifteslägenhet Hornstull,24768573,Anna,,Södermalms,59.31982,18.03371,Entire home/apt,1500,5,0,,,1,14,0,
4831733,Cute Island Apt Close to Sthlm City,24872682,Frida,,Södermalms,59.3185,18.02484,Entire home/apt,726,3,55,2022-01-03,0.61,1,2,4,
4835250,Modern living in Stockholm/Discount for Long stays,24889124,Isabela,,Hägersten-Liljeholmens,59.31182,18.02421,Entire home/apt,990,15,61,2021-04-30,0.83,1,175,0,
4984631,Modern 3 room apartment w. balcony,5974065,Anna,,Enskede-Årsta-Vantörs,59.26592,18.05942,Entire home/apt,820,5,6,2019-07-21,0.08,1,1,0,
5002095,1 bedroom apt 43 sqm with private garden,25794487,Sören,,Bromma,59.3189,17.96152,Entire home/apt,803,3,30,2022-06-22,0.42,2,0,2,
5044485,Modern n cosy in Södermalm,26043221,Johan,,Södermalms,59.31421,18.06262,Entire home/apt,1003,5,50,2019-09-09,0.57,1,114,0,
5062955,Studio/house (room kitchen shower),23105224,Hedvig,,Enskede-Årsta-Vantörs,59.28302,18.08742,Entire home/apt,962,1,90,2022-05-28,1.02,1,290,6,
5114108,Cozy and charming studio to share,26424883,Marco,,Kungsholmens,59.3336,18.01378,Shared room,300,1,23,2020-02-01,0.51,1,0,0,
5117906,Nice room in quiet area and close to subway,26423576,Patrik,,Bromma,59.34482,17.8878,Private room,359,1,18,2020-02-24,0.22,1,72,0,
5135270,Three rooms and a lovely balcony!,26545864,Conny,,Södermalms,59.31857,18.03696,Entire home/apt,1095,4,77,2022-06-06,0.87,1,7,13,
5138799,Södermalm from top floor!,26568999,Kjell,,Södermalms,59.30865,18.07751,Entire home/apt,1200,3,265,2022-06-15,2.94,1,77,10,
5189326,Charmig villa nära centrum,26773888,Sten-Åke,,Enskede-Årsta-Vantörs,59.285,18.0803,Entire home/apt,1800,4,27,2021-08-07,0.31,1,179,1,
5211276,Konstnärs lägenhet i Hornstull,26958984,Eva Vilda,,Södermalms,59.31534,18.0347,Entire home/apt,2500,3,4,2016-11-09,0.05,1,358,0,
5279090,Sjönära mysigt radhus (cleaning fee included).,16172668,Johan,,Hässelby-Vällingby,59.37677,17.79983,Entire home/apt,1500,2,36,2022-01-02,0.41,1,102,1,
5283346,Lägenhet på Söder,27353732,Kajsa,,Södermalms,59.30721,18.08785,Entire home/apt,3000,1,0,,,1,0,0,
5289254,Two-bedroom in Vasastan,25985813,Hanna,,Norrmalms,59.34482,18.03429,Entire home/apt,1000,10,13,2022-06-14,0.15,1,17,2,
5296050,Wonderful penthouse in the heart of Stockholm,27428901,Eva,,Södermalms,59.31791,18.05317,Entire home/apt,2400,6,8,2019-08-19,0.14,1,0,0,
5325436,"Apartment, Fridhemsplan, Stockholm",26503150,Morten,,Kungsholmens,59.3338,18.03502,Entire home/apt,733,3,63,2022-06-12,0.72,1,22,8,
